slug,url,title,category,date_published,read_time,author,description,content
remove-blank-rows-in-excel,https://app.datacamp.com/learn/tutorials/remove-blank-rows-in-excel,Remove Blank Rows in Excel: 4 Easy Methods,,April 2025,5 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
anova-test,https://app.datacamp.com/learn/tutorials/anova-test,ANOVA Test: An In-Depth Guide with Examples,,September 2024,11 min,Arunn Thevapalan,,"Last chance! 50% off DataCamp Premium
Sale ends in"
cte-sql,https://app.datacamp.com/learn/tutorials/cte-sql,CTE in SQL: A Complete Guide with Examples,,December 2025,10 min,Allan Ouko,,"Last chance! 50% off DataCamp Premium
Sale ends in"
a-star-algorithm,https://app.datacamp.com/learn/tutorials/a-star-algorithm,The A* Algorithm: A Complete Guide,,November 2024,11 min,,,"Last chance! 50% off DataCamp Premium
Sale ends in"
run-llms-locally-tutorial,https://app.datacamp.com/learn/tutorials/run-llms-locally-tutorial,Run LLMs Locally: 6 Simple Methods,NEW,January 2026,14 min,Abid Ali Awan,,"Last chance! 50% off DataCamp Premium
Sale ends in"
vlookup-excel,https://app.datacamp.com/learn/tutorials/vlookup-excel,VLOOKUP() Excel: What It Is and How to Use It,NEW,July 2025,7 min,Josef Waples,,"Last chance! 50% off DataCamp Premium
Sale ends in"
separate-names-excel,https://app.datacamp.com/learn/tutorials/separate-names-excel,How to Separate Names in Excel: 3 Easy Methods,NEW,August 2024,7 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
what-is-dbt,https://app.datacamp.com/learn/tutorials/what-is-dbt,What is dbt? A Hands-On Introduction for Data Engineers,NEW,October 2024,13 min,Mike Shakhomirov,,"Last chance! 50% off DataCamp Premium
Sale ends in"
xlookup-vs-vlookup,https://app.datacamp.com/learn/tutorials/xlookup-vs-vlookup,XLOOKUP() vs. VLOOKUP(): A Comparison for Excel Users,NEW,August 2024,11 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
countif-excel,https://app.datacamp.com/learn/tutorials/countif-excel,COUNTIF() Excel: Count Cells Based on Conditions,NEW,March 2025,8 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
case-statement-sql,https://app.datacamp.com/learn/tutorials/case-statement-sql,CASE Statement in SQL Explained,NEW,January 2025,7 min,Eugenia Anello,,"Last chance! 50% off DataCamp Premium
Sale ends in"
merge-two-columns-in-excel,https://app.datacamp.com/learn/tutorials/merge-two-columns-in-excel,How to Merge Two Columns in Excel: Simple Formulas and More,NEW,February 2025,7 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
sumifs,https://app.datacamp.com/learn/tutorials/sumifs,SUMIFS() Function in Excel: Sum Data with Multiple Criteria,NEW,March 2025,8 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
r-studio-tutorial,https://app.datacamp.com/learn/tutorials/r-studio-tutorial,RStudio Tutorial: A Complete Beginner's Guide (2026),NEW,April 2026,12 min,Elena Kosourova,,"Last chance! 50% off DataCamp Premium
Sale ends in"
docker-tutorial,https://app.datacamp.com/learn/tutorials/docker-tutorial,Docker for Beginners: A Practical Guide to Containers,NEW,February 2025,14 min,Moez Ali,,"Last chance! 50% off DataCamp Premium
Sale ends in"
mean-vs-median,https://app.datacamp.com/learn/tutorials/mean-vs-median,Mean vs Median: Knowing the Difference,NEW,January 2026,8 min,Samuel Shaibu,,"Last chance! 50% off DataCamp Premium
Sale ends in"
row-number-sql,https://app.datacamp.com/learn/tutorials/row-number-sql,ROW_NUMBER SQL Function: How to Display Row Numbers,NEW,June 2024,6 min,,,"Last chance! 50% off DataCamp Premium
Sale ends in"
t-test-vs-z-test,https://app.datacamp.com/learn/tutorials/t-test-vs-z-test,T-test vs. Z-test: When to Use Each,NEW,August 2024,10 min,Arunn Thevapalan,,"Last chance! 50% off DataCamp Premium
Sale ends in"
vba-excel,https://app.datacamp.com/learn/tutorials/vba-excel,VBA Excel: How to Get Started and Make Your Work Easier,NEW,September 2024,10 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
cursor-ai-code-editor,https://app.datacamp.com/learn/tutorials/cursor-ai-code-editor,Cursor AI: A Guide With 10 Practical Examples,NEW,March 2026,10 min,François Aubry,,"Last chance! 50% off DataCamp Premium
Sale ends in"
pyspark-tutorial-getting-started-with-pyspark,https://app.datacamp.com/learn/tutorials/pyspark-tutorial-getting-started-with-pyspark,Pyspark Tutorial: Getting Started with Pyspark,NEW,February 2026,10 min,Natassha Selvaraj,,"Last chance! 50% off DataCamp Premium
Sale ends in"
kiro-ai,https://app.datacamp.com/learn/tutorials/kiro-ai,Kiro AI: A Guide With Practical Examples,NEW,August 2025,12 min,Bex Tuychiev,,"Last chance! 50% off DataCamp Premium
Sale ends in"
subtract-in-excel,https://app.datacamp.com/learn/tutorials/subtract-in-excel,"How to Subtract in Excel: Using Cells, Columns, and Rows",NEW,February 2025,3 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
random-forests-classifier-python,https://app.datacamp.com/learn/tutorials/random-forests-classifier-python,Random Forest Classification in Python With Scikit-Learn: Step-by-Step Guide (with Code Examples),NEW,March 2026,14 min,Adam Shafi,,"Last chance! 50% off DataCamp Premium
Sale ends in"
pydantic,https://app.datacamp.com/learn/tutorials/pydantic,Pydantic: A Guide With Practical Examples,NEW,June 2025,12 min,Bex Tuychiev,,"Last chance! 50% off DataCamp Premium
Sale ends in"
streamlit,https://app.datacamp.com/learn/tutorials/streamlit,Streamlit Python: Tutorial,NEW,April 2026,15 min,Nadia mhadhbi,,"Last chance! 50% off DataCamp Premium
Sale ends in"
openai-codex,https://app.datacamp.com/learn/tutorials/openai-codex,OpenAI's Codex: A Guide With 3 Practical Examples,NEW,May 2025,12 min,Aashi Dutt,,"Last chance! 50% off DataCamp Premium
Sale ends in"
pca-analysis-r,https://app.datacamp.com/learn/tutorials/pca-analysis-r,PCA in R: A Step-by-Step Tutorial with Examples,NEW,March 2026,15 min,Zoumana Keita,,"Last chance! 50% off DataCamp Premium
Sale ends in"
decision-tree-classification-python,https://app.datacamp.com/learn/tutorials/decision-tree-classification-python,Decision Tree Classification in Python Tutorial,NEW,January 2026,12 min,Avinash Navlani,,"Last chance! 50% off DataCamp Premium
Sale ends in"
excel-checkbox,https://app.datacamp.com/learn/tutorials/excel-checkbox,"Excel Checkbox: How to Add, Use, and Count Them",NEW,January 2026,12 min,Khalid Abdelaty,,"Last chance! 50% off DataCamp Premium
Sale ends in"
index-match-multiple-criteria,https://app.datacamp.com/learn/tutorials/index-match-multiple-criteria,How to INDEX MATCH Multiple Criteria in Excel,NEW,January 2025,8 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
linear-regression-in-excel,https://app.datacamp.com/learn/tutorials/linear-regression-in-excel,Linear Regression in Excel: A Comprehensive Guide For Beginners,NEW,March 2024,11 min,Natassha Selvaraj,,"Last chance! 50% off DataCamp Premium
Sale ends in"
python-uv,https://app.datacamp.com/learn/tutorials/python-uv,Python UV: The Ultimate Guide to the Fastest Python Package Manager,NEW,April 2026,11 min,Bex Tuychiev,,"Last chance! 50% off DataCamp Premium
Sale ends in"
postgresql-docker,https://app.datacamp.com/learn/tutorials/postgresql-docker,PostgreSQL in Docker: A Step-by-Step Guide for Beginners,NEW,April 2025,15 min,Dario Radečić,,"Last chance! 50% off DataCamp Premium
Sale ends in"
run-glm-5-1-locally,https://app.datacamp.com/learn/tutorials/run-glm-5-1-locally,How to Run GLM 5.1 Locally For Agentic Coding,NEW,April 2026,10 min,Abid Ali Awan,,"Last chance! 50% off DataCamp Premium
Sale ends in"
openclaw-ollama-tutorial,https://app.datacamp.com/learn/tutorials/openclaw-ollama-tutorial,Using OpenClaw with Ollama: Building a Local Data Analyst,NEW,February 2026,13 min,Aashi Dutt,,"Last chance! 50% off DataCamp Premium
Sale ends in"
azure-data-factory,https://app.datacamp.com/learn/tutorials/azure-data-factory,Azure Data Factory: A Complete Guide for Beginners,NEW,January 2026,13 min,Moez Ali,,"Last chance! 50% off DataCamp Premium
Sale ends in"
simple-linear-regression,https://app.datacamp.com/learn/tutorials/simple-linear-regression,Simple Linear Regression: Everything You Need to Know,NEW,September 2024,7 min,Josef Waples,,"Last chance! 50% off DataCamp Premium
Sale ends in"
multilayer-perceptrons-in-machine-learning,https://app.datacamp.com/learn/tutorials/multilayer-perceptrons-in-machine-learning,Multilayer Perceptrons in Machine Learning: A Comprehensive Guide,NEW,April 2026,15 min,Sejal Jaiswal,,"Last chance! 50% off DataCamp Premium
Sale ends in"
python-block-comment,https://app.datacamp.com/learn/tutorials/python-block-comment,How to Comment Out a Block of Code in Python,NEW,July 2024,3 min,Adel Nehme,,"Last chance! 50% off DataCamp Premium
Sale ends in"
group-by-having-clause-sql,https://app.datacamp.com/learn/tutorials/group-by-having-clause-sql,How to Use GROUP BY and HAVING in SQL,NEW,December 2024,6 min,Eugenia Anello,,"Last chance! 50% off DataCamp Premium
Sale ends in"
building-a-transformer-with-py-torch,https://app.datacamp.com/learn/tutorials/building-a-transformer-with-py-torch,Transformer Model Tutorial in PyTorch: From Theory to Code,NEW,April 2025,15 min,Arjun Sarkar,,"Last chance! 50% off DataCamp Premium
Sale ends in"
extract-number-from-string-excel,https://app.datacamp.com/learn/tutorials/extract-number-from-string-excel,How to Extract a Number from a String in Excel: Finding the Right Approach,NEW,February 2025,8 min,Allan Ouko,,"Last chance! 50% off DataCamp Premium
Sale ends in"
monte-carlo-simulation-in-excel,https://app.datacamp.com/learn/tutorials/monte-carlo-simulation-in-excel,Monte Carlo Simulation in Excel: A Complete Guide,NEW,January 2026,9 min,Arunn Thevapalan,,"Last chance! 50% off DataCamp Premium
Sale ends in"
coalesce-sql-function,https://app.datacamp.com/learn/tutorials/coalesce-sql-function,How to Use the COALESCE() Function in SQL (With Examples),NEW,March 2025,5 min,Travis Tang,,"Last chance! 50% off DataCamp Premium
Sale ends in"
remove-duplicates-excel,https://app.datacamp.com/learn/tutorials/remove-duplicates-excel,How to Remove Duplicates in Excel: 5 Best Methods,NEW,November 2024,6 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
introduction-to-shap-values-machine-learning-interpretability,https://app.datacamp.com/learn/tutorials/introduction-to-shap-values-machine-learning-interpretability,An Introduction to SHAP Values and Machine Learning Interpretability,NEW,June 2023,9 min,Abid Ali Awan,,"Last chance! 50% off DataCamp Premium
Sale ends in"
sql-remove-duplicates,https://app.datacamp.com/learn/tutorials/sql-remove-duplicates,SQL Remove Duplicates: Comprehensive Methods and Best Practices,NEW,March 2026,8 min,Allan Ouko,,"Last chance! 50% off DataCamp Premium
Sale ends in"
insert-multiple-rows-excel,https://app.datacamp.com/learn/tutorials/insert-multiple-rows-excel,How to Insert Multiple Rows in Excel: 4 Different Ways,NEW,March 2025,3 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
moltbot-clawdbot-tutorial,https://app.datacamp.com/learn/tutorials/moltbot-clawdbot-tutorial,OpenClaw (Clawdbot) Tutorial: Control Your PC from WhatsApp,NEW,February 2026,13 min,Bex Tuychiev,,"Last chance! 50% off DataCamp Premium
Sale ends in"
llama-cpp-tutorial,https://app.datacamp.com/learn/tutorials/llama-cpp-tutorial,Llama.cpp Tutorial: A Complete Guide to Efficient LLM Inference and Implementation,NEW,December 2024,11 min,Zoumana Keita,,"Last chance! 50% off DataCamp Premium
Sale ends in"
sql-like-pattern-matching-tutorial,https://app.datacamp.com/learn/tutorials/sql-like-pattern-matching-tutorial,SQL LIKE Pattern Matching: A Practical Guide With Examples,NEW,April 2026,8 min,Travis Tang,,"Last chance! 50% off DataCamp Premium
Sale ends in"
langchain-vs-langgraph-vs-langsmith-vs-langflow,https://app.datacamp.com/learn/tutorials/langchain-vs-langgraph-vs-langsmith-vs-langflow,LangChain vs LangGraph vs LangSmith vs LangFlow: Key Differences Explained,NEW,September 2025,15 min,Vaibhav Mehra,,"Last chance! 50% off DataCamp Premium
Sale ends in"
sql-order-of-execution,https://app.datacamp.com/learn/tutorials/sql-order-of-execution,SQL Order of Execution: Understanding How Queries Run,NEW,October 2024,5 min,Allan Ouko,,"Last chance! 50% off DataCamp Premium
Sale ends in"
chromadb-tutorial-step-by-step-guide,https://app.datacamp.com/learn/tutorials/chromadb-tutorial-step-by-step-guide,Chroma DB Tutorial: A Step-By-Step Guide,NEW,March 2026,10 min,Abid Ali Awan,,"Last chance! 50% off DataCamp Premium
Sale ends in"
excel-drown-down-list,https://app.datacamp.com/learn/tutorials/excel-drown-down-list,"Excel Drop Down List: Setup, Tips, and Troubleshooting",NEW,August 2025,12 min,Allan Ouko,,"Last chance! 50% off DataCamp Premium
Sale ends in"
how-to-use-the-xlookup-excel-function-with-multiple-criteria,https://app.datacamp.com/learn/tutorials/how-to-use-the-xlookup-excel-function-with-multiple-criteria,How to Use XLOOKUP() with Multiple Criteria in Excel,NEW,May 2026,9 min,Elena Kosourova,,"Last chance! 50% off DataCamp Premium
Sale ends in"
langgraph-tutorial,https://app.datacamp.com/learn/tutorials/langgraph-tutorial,LangGraph Tutorial: What Is LangGraph and How to Use It?,NEW,June 2024,12 min,Ryan Ong,,"Last chance! 50% off DataCamp Premium
Sale ends in"
arima,https://app.datacamp.com/learn/tutorials/arima,ARIMA for Time Series Forecasting: A Complete Guide,NEW,January 2025,12 min,Zaina Saadeddin,,"Last chance! 50% off DataCamp Premium
Sale ends in"
python-excel-tutorial,https://app.datacamp.com/learn/tutorials/python-excel-tutorial,Python Excel: A Guide With Examples,NEW,October 2025,15 min,Natassha Selvaraj,,"Last chance! 50% off DataCamp Premium
Sale ends in"
building-a-rag-system-with-langchain-and-fastapi,https://app.datacamp.com/learn/tutorials/building-a-rag-system-with-langchain-and-fastapi,Building a RAG System with LangChain and FastAPI: From Development to Production,NEW,October 2025,15 min,Dr Ana Rojo-Echeburúa,,"Last chance! 50% off DataCamp Premium
Sale ends in"
normalization-vs-standardization,https://app.datacamp.com/learn/tutorials/normalization-vs-standardization,Normalization vs. Standardization: How to Know the Difference,NEW,October 2024,9 min,Samuel Shaibu,,"Last chance! 50% off DataCamp Premium
Sale ends in"
dashboard-design-tutorial,https://app.datacamp.com/learn/tutorials/dashboard-design-tutorial,"Effective Dashboard Design: Principles, Best Practices, and Examples",NEW,December 2025,15 min,Josep Ferrer,,"Last chance! 50% off DataCamp Premium
Sale ends in"
if-vlookup,https://app.datacamp.com/learn/tutorials/if-vlookup,How to Combine VLOOKUP() with IF() in Excel,NEW,July 2024,10 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
sql-lag,https://app.datacamp.com/learn/tutorials/sql-lag,Understanding the LAG() Function in SQL: A Comprehensive Guide,NEW,July 2024,11 min,Islam Salahuddin,,"Last chance! 50% off DataCamp Premium
Sale ends in"
understanding-logistic-regression-python,https://app.datacamp.com/learn/tutorials/understanding-logistic-regression-python,Understanding Logistic Regression in Python,NEW,August 2024,10 min,Avinash Navlani,,"Last chance! 50% off DataCamp Premium
Sale ends in"
third-normal-form,https://app.datacamp.com/learn/tutorials/third-normal-form,What is Third Normal Form (3NF)?,NEW,November 2024,9 min,Marie Fayard,,"Last chance! 50% off DataCamp Premium
Sale ends in"
count-unique-values-excel,https://app.datacamp.com/learn/tutorials/count-unique-values-excel,How to Count Unique Values in Excel: What You Need to Know,,December 2025,8 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
excel-convert-text-to-number,https://app.datacamp.com/learn/tutorials/excel-convert-text-to-number,Excel Convert Text to Number: Easy Methods That Work,,April 2025,8 min,Allan Ouko,,"Last chance! 50% off DataCamp Premium
Sale ends in"
python-f-string,https://app.datacamp.com/learn/tutorials/python-f-string,Python f-string: A Complete Guide,,December 2024,11 min,,,"Last chance! 50% off DataCamp Premium
Sale ends in"
python-async-programming,https://app.datacamp.com/learn/tutorials/python-async-programming,Python Async Programming: The Complete Guide,,December 2025,14 min,Bex Tuychiev,,"Last chance! 50% off DataCamp Premium
Sale ends in"
standard-deviation-excel,https://app.datacamp.com/learn/tutorials/standard-deviation-excel,How to Calculate Standard Deviation in Excel,,December 2025,10 min,Arunn Thevapalan,,"Last chance! 50% off DataCamp Premium
Sale ends in"
sql-union-union-all,https://app.datacamp.com/learn/tutorials/sql-union-union-all,UNION vs UNION ALL in SQL,,January 2026,8 min,Vikash Singh,,"Last chance! 50% off DataCamp Premium
Sale ends in"
excel-random-number-generator,https://app.datacamp.com/learn/tutorials/excel-random-number-generator,Excel Random Number Generator: 3 Different Methods,,February 2025,6 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
highlight-duplicates-excel,https://app.datacamp.com/learn/tutorials/highlight-duplicates-excel,How to Highlight Duplicates in Excel,,November 2024,6 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
poisson-distribution,https://app.datacamp.com/learn/tutorials/poisson-distribution,Poisson Distribution: A Comprehensive Guide,,September 2024,9 min,Vinod Chugani,,"Last chance! 50% off DataCamp Premium
Sale ends in"
hermes-agent,https://app.datacamp.com/learn/tutorials/hermes-agent,Nous Research Hermes Agent: Setup and Tutorial Guide,,April 2026,11 min,Derrick Mwiti,,"Last chance! 50% off DataCamp Premium
Sale ends in"
aws-bedrock,https://app.datacamp.com/learn/tutorials/aws-bedrock,Amazon Bedrock: A Complete Guide to Building AI Applications,NEW,January 2025,15 min,Rahul Sharma,,"Last chance! 50% off DataCamp Premium
Sale ends in"
mcp-model-context-protocol,https://app.datacamp.com/learn/tutorials/mcp-model-context-protocol,Model Context Protocol (MCP): A Guide With Demo Project,NEW,March 2025,12 min,Aashi Dutt,,"Last chance! 50% off DataCamp Premium
Sale ends in"
qq-plot,https://app.datacamp.com/learn/tutorials/qq-plot,The Q-Q Plot: What It Means and How to Interpret It,NEW,November 2024,8 min,Josef Waples,,"Last chance! 50% off DataCamp Premium
Sale ends in"
writing-the-best-claude-md,https://app.datacamp.com/learn/tutorials/writing-the-best-claude-md,Writing the Best CLAUDE.md: A Complete Guide for Claude Code,NEW,March 2026,12 min,Bex Tuychiev,,"Last chance! 50% off DataCamp Premium
Sale ends in"
excel-anova-guide,https://app.datacamp.com/learn/tutorials/excel-anova-guide,A Comprehensive Guide to Using ANOVA in Excel,NEW,June 2024,10 min,Arunn Thevapalan,,"Last chance! 50% off DataCamp Premium
Sale ends in"
excel-text-function,https://app.datacamp.com/learn/tutorials/excel-text-function,Excel TEXT() Function: Format Numbers as Readable Text,NEW,August 2025,8 min,Allan Ouko,,"Last chance! 50% off DataCamp Premium
Sale ends in"
openrouter,https://app.datacamp.com/learn/tutorials/openrouter,OpenRouter: A Guide With Practical Examples,NEW,August 2025,12 min,Bex Tuychiev,,"Last chance! 50% off DataCamp Premium
Sale ends in"
decorators-python,https://app.datacamp.com/learn/tutorials/decorators-python,How to Use Python Decorators (With Function and Class-Based Examples),NEW,February 2026,11 min,Derrick Mwiti,,"Last chance! 50% off DataCamp Premium
Sale ends in"
dependent-drop-down-list-excel,https://app.datacamp.com/learn/tutorials/dependent-drop-down-list-excel,Dependent Drop-Down List in Excel: Setup and Troubleshooting,NEW,February 2026,7 min,Allan Ouko,,"Last chance! 50% off DataCamp Premium
Sale ends in"
two-simple-methods-to-convert-a-python-file-to-an-exe-file,https://app.datacamp.com/learn/tutorials/two-simple-methods-to-convert-a-python-file-to-an-exe-file,Three Methods to Convert A Python Script To An Exe File,NEW,January 2026,7 min,Kurtis Pykes,,"Last chance! 50% off DataCamp Premium
Sale ends in"
claude-in-excel,https://app.datacamp.com/learn/tutorials/claude-in-excel,Claude in Excel: Anthropic's AI Excel Assistant,NEW,January 2026,13 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
how-to-multiply-in-excel,https://app.datacamp.com/learn/tutorials/how-to-multiply-in-excel,"How to Multiply in Excel: Multiply Cells, Columns, Rows, and More",NEW,February 2025,6 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
join-3-tables-sql,https://app.datacamp.com/learn/tutorials/join-3-tables-sql,How to Join 3 Tables in SQL: Methods and Examples,NEW,May 2026,7 min,Allan Ouko,,"Last chance! 50% off DataCamp Premium
Sale ends in"
dbscan-clustering-algorithm,https://app.datacamp.com/learn/tutorials/dbscan-clustering-algorithm,A Guide to the DBSCAN Clustering Algorithm,NEW,January 2026,11 min,,,"Last chance! 50% off DataCamp Premium
Sale ends in"
explainable-ai-understanding-and-trusting-machine-learning-models,https://app.datacamp.com/learn/tutorials/explainable-ai-understanding-and-trusting-machine-learning-models,Explainable AI - Understanding and Trusting Machine Learning Models,NEW,May 2023,12 min,Zoumana Keita,,"Last chance! 50% off DataCamp Premium
Sale ends in"
maximum-likelihood-estimation-mle,https://app.datacamp.com/learn/tutorials/maximum-likelihood-estimation-mle,Introduction to Maximum Likelihood Estimation (MLE),NEW,July 2025,13 min,Vaibhav Mehra,,"Last chance! 50% off DataCamp Premium
Sale ends in"
sql-subquery,https://app.datacamp.com/learn/tutorials/sql-subquery,SQL Subquery: A Comprehensive Guide,NEW,January 2025,8 min,Allan Ouko,,"Last chance! 50% off DataCamp Premium
Sale ends in"
excel-macros-tutorial,https://app.datacamp.com/learn/tutorials/excel-macros-tutorial,"Excel Macros Tutorial: Automate Formatting, Reporting, and Data Entry",NEW,April 2025,2025 min,,,"Last chance! 50% off DataCamp Premium
Sale ends in"
loops-python-tutorial,https://app.datacamp.com/learn/tutorials/loops-python-tutorial,Python Loops Tutorial,NEW,October 2017,15 min,Satyabrata Pal,,"Last chance! 50% off DataCamp Premium
Sale ends in"
loc-vs-iloc,https://app.datacamp.com/learn/tutorials/loc-vs-iloc,Iloc vs Loc in Pandas: A Guide With Examples,NEW,November 2024,8 min,Tom Farnschläder,,"Last chance! 50% off DataCamp Premium
Sale ends in"
introduction-fastapi-tutorial,https://app.datacamp.com/learn/tutorials/introduction-fastapi-tutorial,FastAPI Tutorial: An Introduction to Using FastAPI,NEW,September 2022,13 min,Moez Ali,,"Last chance! 50% off DataCamp Premium
Sale ends in"
python-oop-tutorial,https://app.datacamp.com/learn/tutorials/python-oop-tutorial,Object-Oriented Programming in Python: A Complete Guide,NEW,February 2026,12 min,Théo Vanderheyden,,"Last chance! 50% off DataCamp Premium
Sale ends in"
sql-delete,https://app.datacamp.com/learn/tutorials/sql-delete,SQL DELETE: How to Remove Data Safely,NEW,January 2026,9 min,Allan Ouko,,"Last chance! 50% off DataCamp Premium
Sale ends in"
gemini-cli,https://app.datacamp.com/learn/tutorials/gemini-cli,Gemini CLI: A Guide With Practical Examples,NEW,January 2026,8 min,Aashi Dutt,,"Last chance! 50% off DataCamp Premium
Sale ends in"
sql-commands-glossaryan-overview-of-25-most-popular-sql-commands,https://app.datacamp.com/learn/tutorials/sql-commands-glossaryan-overview-of-25-most-popular-sql-commands,SQL Commands Glossary—An Overview of 25 Most Popular SQL Commands,NEW,July 2022,8 min,Bekhruz Tuychiev,,"Last chance! 50% off DataCamp Premium
Sale ends in"
pandas-read-csv,https://app.datacamp.com/learn/tutorials/pandas-read-csv,pandas read_csv() Tutorial: Importing Data,NEW,April 2026,10 min,Kurtis Pykes,,"Last chance! 50% off DataCamp Premium
Sale ends in"
pgvector-tutorial,https://app.datacamp.com/learn/tutorials/pgvector-tutorial,pgvector Tutorial: Integrate Vector Search into PostgreSQL,NEW,January 2026,10 min,Moez Ali,,"Last chance! 50% off DataCamp Premium
Sale ends in"
kimi-k2-agent-swarm-guide,https://app.datacamp.com/learn/tutorials/kimi-k2-agent-swarm-guide,Kimi K2.5 and Agent Swarm: A Guide With Four Practical Examples,NEW,January 2026,10 min,Aashi Dutt,,"Last chance! 50% off DataCamp Premium
Sale ends in"
isolation-forest,https://app.datacamp.com/learn/tutorials/isolation-forest,Isolation Forest Guide: Explanation and Python Implementation,NEW,September 2024,9 min,Conor O'Sullivan,,"Last chance! 50% off DataCamp Premium
Sale ends in"
