type,slug,url,name,description,technology,duration_hours,total_courses,total_projects,total_assessments,total_participants,courses,projects
skill,understanding-data-topics,https://app.datacamp.com/learn/skill-tracks/understanding-data-topics,Memahami Topik Data,Literasi data bukan hanya untuk para ahli data; ini adalah keterampilan hidup dasar yang dibutuhkan oleh semua orang.,,10,5,,,441902,Memahami Ilmu Data | Memahami Machine Learning | Memahami Visualisasi Data | Memahami Rekayasa Data | Memahami Cloud Computing,
skill,power-bi-fundamentals,https://app.datacamp.com/learn/skill-tracks/power-bi-fundamentals,Dasar-Dasar Power BI,Dapatkan keterampilan dasar yang Anda butuhkan untuk menggunakan Power BI. Buat visualisasi dan dasbor Anda sendiri dari awal. Tidak diperlukan pengalaman sebelumnya.,Power BI,17,6,,,136288,Pengantar Power BI | Pengantar DAX di Power BI | Visualisasi Data di Power BI | Studi Kasus: Menganalisis Churn Pelanggan di Power BI | Persiapan Data di Power BI | Pemodelan Data di Power BI,
skill,r-programming-fundamentals,https://app.datacamp.com/learn/skill-tracks/r-programming-fundamentals,Dasar-Dasar Pemrograman R,"Tingkatkan keterampilan pemrograman R Anda! Pelajari cara bekerja dengan struktur data umum, mengoptimalkan kode, dan menulis fungsi Anda sendiri.",,22,5,,1,188312,Pengantar R | R Tingkat Menengah | Menulis Kode R yang Efisien | Pengantar Penulisan Fungsi di R | Pemrograman Berorientasi Objek dengan S3 dan R6 di R | Pemrograman R,
skill,excel-fundamentals,https://app.datacamp.com/learn/skill-tracks/excel-fundamentals,Dasar-Dasar Excel,"Dapatkan keterampilan dasar yang Anda butuhkan untuk menggunakan Excel, mulai dari mempersiapkan data, menulis rumus, hingga membuat visualisasi. Tidak diperlukan pengalaman sebelumnya.",Excel,16,5,,1,84379,Pengantar Excel | Persiapan Data di Excel | Visualisasi Data di Excel | Analisis Data di Excel | Studi Kasus: Menganalisis Churn Pelanggan di Excel | Dasar-dasar Excel,
skill,developing-ai-applications,https://app.datacamp.com/learn/skill-tracks/developing-ai-applications,Pengembangan Aplikasi Kecerdasan Buatan,"Pelajari cara membuat aplikasi yang didukung oleh kecerdasan buatan (AI) menggunakan alat pengembangan AI terbaru, termasuk OpenAI API, Hugging Face, dan LangChain.","Python, OpenAI, Teori",21,8,2,,40836,Bekerja dengan OpenAI API | Merencanakan Perjalanan ke Paris dengan OpenAI API | Etika Kecerdasan Buatan | Prompt Engineering dengan OpenAI API | Bekerja dengan Hugging Face | Pengantar Privasi Data | Mengembangkan Sistem AI dengan OpenAI API | Introduction to Embeddings with the OpenAI API | Analisis Topik Ulasan Pakaian dengan Embeddings | Mengembangkan Aplikasi LLM dengan LangChain,
skill,ai-agent-fundamentals,https://app.datacamp.com/learn/skill-tracks/ai-agent-fundamentals,Dasar-Dasar Agen Kecerdasan Buatan,Temukan bagaimana agen kecerdasan buatan (AI) dapat mengubah cara Anda bekerja dan memberikan nilai tambah bagi organisasi Anda!,,6,3,,,7304,Pengantar AI untuk Pekerjaan | Pengantar Agen Kecerdasan Buatan | Membangun Sistem Agenik yang Dapat Diskalakan | AI Agents Cheat Sheet,
skill,python-programming-fundamentals,https://app.datacamp.com/learn/skill-tracks/python-programming-fundamentals,Dasar-Dasar Pemrograman Python,"Kembangkan keterampilan pemrograman Python Anda. Pelajari cara bekerja dengan modul dan paket, bekerja dengan tipe data bawaan, dan menulis fungsi kustom.",Python,16,4,1,,40249,Pengantar Python untuk Pengembang | Python Tingkat Menengah untuk Pengembang | Kotak Perkakas Python | Tipe Data di Python | Membuat Fungsi untuk Mendaftarkan Pengguna Aplikasi,
skill,machine-learning-fundamentals-with-python,https://app.datacamp.com/learn/skill-tracks/machine-learning-fundamentals-with-python,Dasar-Dasar Pembelajaran Mesin dalam Python,"Pelajari seni Machine Learning dan kuasai prediksi, pengenalan pola, serta dasar-dasar Deep Learning dan Reinforcement Learning.","Python, PyTorch",16,4,3,1,60800,Supervised Learning dengan scikit-learn | Pemodelan Prediktif untuk Pertanian | Unsupervised Learning in Python | Pengelompokan Spesies Penguin Antartika | Pengantar Deep Learning dengan PyTorch | Reinforcement Learning dengan Gymnasium di Python | Optimisasi Rute Taksi dengan Reinforcement Learning | Dasar-dasar Machine Learning dalam Python,
skill,ai-business-fundamentals,https://app.datacamp.com/learn/skill-tracks/ai-business-fundamentals,Dasar-Dasar Bisnis Kecerdasan Buatan,"Percepat perjalanan AI Anda, kuasai ChatGPT, dan kembangkan strategi Kecerdasan Buatan yang komprehensif.",,12,7,,,8145,Pengantar AI untuk Pekerjaan | Memahami ChatGPT | Generative AI untuk Bisnis | Large Language Models for Business | Strategi Artificial Intelligence (AI) | Etika Kecerdasan Buatan | Mengimplementasikan Solusi AI dalam Bisnis,
skill,sql-for-business-analysts,https://app.datacamp.com/learn/skill-tracks/sql-for-business-analysts,SQL untuk Analis Bisnis,Tingkatkan keterampilan SQL Anda untuk bisnis. Pelajari cara menggunakan SQL untuk menganalisis data dengan cepat dan membuat laporan yang kuat guna mengatasi masalah bisnis.,SQL,20,5,1,,85390,Analisis Data Eksploratif di SQL | Pengambilan Keputusan Berbasis Data dengan SQL | Menerapkan SQL pada Masalah Dunia Nyata | Analyzing Business Data in SQL | Pelaporan dengan SQL | Evaluasi Proses Manufaktur,
skill,deep-learning-in-python,https://app.datacamp.com/learn/skill-tracks/deep-learning-in-python,Pembelajaran Mendalam dalam Python,Lanjutkan perjalanan Anda dalam machine learning ke deep learning. Gunakan perpustakaan PyTorch untuk membuat jaringan saraf tiruan guna memodelkan berbagai jenis data.,,18,5,1,,17073,Pengantar Deep Learning dengan PyTorch | Deep Learning Lanjutan dengan PyTorch | Membangun Model Klasifikasi Pakaian untuk E-Commerce | Deep Learning untuk Gambar dengan PyTorch | Deep Learning for Text with PyTorch | Model Transformer dengan PyTorch,
skill,chatgpt-fundamentals,https://app.datacamp.com/learn/skill-tracks/chatgpt-fundamentals,ChatGPT Fundamentals,Jelajahi dasar-dasar ChatGPT dan teknik prompt engineering. Kuasai teknik pembuatan prompt untuk memaksimalkan kemampuan ChatGPT.,,3,3,,,23722,Memahami ChatGPT | What is Prompt Engineering? A Detailed Guide For 2026 | Memahami Prompt Engineering | ChatGPT Tingkat Menengah | Using ChatGPT's Advanced Data Analysis | How to Make Custom ChatGPT Models: 5 Easy Steps to Personalized GPTs,
skill,tableau-fundamentals,https://app.datacamp.com/learn/skill-tracks/tableau-fundamentals,Dasar-Dasar Tableau,Pelajari dasar-dasar Tableau dan kembangkan keterampilan yang Anda butuhkan untuk lulus sertifikasi Tableau Desktop Specialist. Tidak diperlukan pengalaman sebelumnya!,Tableau,23,5,,,45931,Pengantar Tableau | Menganalisis Data di Tableau | Membuat Dashboard di Tableau | Studi Kasus: Menganalisis Churn Pelanggan di Tableau | Menghubungkan Data di Tableau,
skill,java-fundamentals,https://app.datacamp.com/learn/skill-tracks/java-fundamentals,Java Fundamentals,Pelajari dasar-dasar Java dan mulailah membangun aplikasi dunia nyata dengan salah satu bahasa pemrograman paling populer di dunia.,,20,5,,,13904,Pengantar Java | Java Menengah | Pengantar Pemrograman Berorientasi Objek di Java | Getting Started with Java for Data | Tipe Data dan Exception di Java | Input/Output dan Stream di Java | Creating Your First App with Java,
skill,data-manipulation-with-python,https://app.datacamp.com/learn/skill-tracks/data-manipulation-with-python,Manipulasi Data dalam Python,"Hilangkan kerumitan dalam manipulasi data menggunakan pandas. Anda akan belajar cara mentransformasi, mengurutkan, dan menyaring data dalam DataFrames, siap untuk analisis cepat.",Python,16,4,1,1,31100,Manipulasi Data dengan pandas | Tidur Nyenyak di Malam Hari | Mengubah Bentuk Data dengan pandas | Menggabungkan Data dengan pandas | Pengantar NumPy | Manipulasi Data dengan Python,
skill,python-programming,https://app.datacamp.com/learn/skill-tracks/python-programming,Pemrograman Python,"Tingkatkan keterampilan pemrograman Anda. Pelajari cara mengoptimalkan kode, menulis fungsi dan tes, serta menggunakan teknik rekayasa perangkat lunak terbaik.",Python,19,4,1,,28619,Persyaratan Pendahuluan Track | Context Manager | Decorator | Lebih Lanjut tentang Decorator | Menulis Kode Python yang Efisien | Prinsip Rekayasa Perangkat Lunak di Python | Pengantar Pengujian di Python | Pengantar Pemrograman Berorientasi Objek di Python | Melakukan Tinjauan Kode,
skill,data-analysis-with-excel-power-tools,https://app.datacamp.com/learn/skill-tracks/data-analysis-with-excel-power-tools,Analisis Data dengan Excel Power Tools,"Tingkatkan keterampilan Excel Anda dengan Excel Power Tools: Menguasai Power Query, Power Pivot, dan bahasa M yang dinamis.",Excel,9,3,,,13489,Persyaratan Pendahuluan Track | Pengantar Power Query di Excel | Power Pivot di Excel | Power Query Menengah di Excel,
skill,foundational-data-skills-for-business-leaders,https://app.datacamp.com/learn/skill-tracks/foundational-data-skills-for-business-leaders,Keterampilan Data untuk Bisnis,"Pelajari konsep dasar data, pahami cara menjawab pertanyaan dunia nyata menggunakan data, dan menjadi pengambil keputusan yang lebih percaya diri berdasarkan data.",,17,6,,,2125,Pengantar Data | Pengantar Literasi Data | Pengantar AI untuk Pekerjaan | Konsep Tata Kelola Data | Pengantar Etika Data | Konsep Manajemen Data,
skill,snowflake-foundations,https://app.datacamp.com/learn/skill-tracks/snowflake-foundations,Snowflake Foundations,"Coba langsung Snowflake! Pelajari cara mengakses, memodelkan, dan mengelola data dalam pengenalan interaktif ini untuk insinyur data, analis, dan profesional BI.",,7,3,1,,12264,Pengantar Snowflake | Snowflake Tutorial For Beginners: From Architecture to Running Databases | Pengantar Snowflake SQL | Pengantar Pemodelan Data di Snowflake | Menjelajahi Jaringan Transportasi London | Text Processing with Snowflake Cortex AI,
skill,ai-for-software-engineering,https://app.datacamp.com/learn/skill-tracks/ai-for-software-engineering,Kecerdasan Buatan untuk Rekayasa Perangkat Lunak,"Tulis kode dan bangun aplikasi perangkat lunak lebih cepat dari sebelumnya dengan alat pengembangan AI terbaru, termasuk GitHub Copilot, Windsurf, dan Replit.",,7,4,,,3122,Pengembangan Kode dengan Bantuan AI untuk Developer | Pengembangan Perangkat Lunak dengan GitHub Copilot | Pengembangan Perangkat Lunak dengan Windsurf | Vibe Coding dengan Replit,
skill,statistics-fundamentals-with-python,https://app.datacamp.com/learn/skill-tracks/statistics-fundamentals-with-python,Dasar-Dasar Statistik dalam Python,"Belajar dengan percaya diri untuk menghitung statistik dan probabilitas, mengevaluasi model statistik, dan menarik kesimpulan dari uji hipotesis.",Python,20,5,1,1,33595,Pengantar Statistika di Python | Pengantar Regresi dengan statsmodels di Python | Intermediate Regression with statsmodels in Python | Sampling di Python | Pengujian Hipotesis dengan Python | Pengujian Hipotesis pada Pertandingan Sepak Bola Putra dan Putri | Dasar-Dasar Statistik dengan Python,
skill,design-in-power-bi,https://app.datacamp.com/learn/skill-tracks/design-in-power-bi,Desain di Power BI,Pelatihan singkat ini akan meningkatkan keterampilan Anda dalam pembuatan dashboard dan pelaporan ke level yang lebih tinggi.,"Power BI, Teori",4,2,,,10008,Dashboard Design Concepts | Desain Berorientasi Pengguna di Power BI | Designing Engaging Power BI Reports Tutorial | Report Design Best Practices in Power BI,
skill,data-storytelling,https://app.datacamp.com/learn/skill-tracks/data-storytelling,Cerita Data,Temukan seni bercerita melalui data. Ubah informasi mentah menjadi cerita yang berkesan.,,6,4,,1,17402,Mengomunikasikan Wawasan Data | Konsep Menyajikan Data Dengan Bercerita | Studi Kasus Data Storytelling: Jurusan Kuliah | Studi Kasus Data Storytelling: Bisnis Ramah Lingkungan | Penceritaan Data,
skill,data-visualization-with-python,https://app.datacamp.com/learn/skill-tracks/data-visualization-with-python,Visualisasi Data dalam Python,Tingkatkan keterampilan data science Anda dengan menggunakan perpustakaan visualisasi data Python yang paling populer dan andal.,Python,16,4,1,1,36204,Pengantar Visualisasi Data dengan Matplotlib | Pengantar Visualisasi Data dengan Seaborn | Meningkatkan Visualisasi Data Anda di Python | Visualizing Geospatial Data in Python | Visualisasi Data dengan Python | Bandingkan Statistik Pemain Baseball menggunakan Visualisasi,
skill,natural-language-processing-in-python,https://app.datacamp.com/learn/skill-tracks/natural-language-processing-in-python,Pemrosesan Bahasa Alami dalam Python,"Pelajari cara mentranskrip dan mengekstrak wawasan menarik dari buku, situs ulasan, dan artikel online menggunakan Pemrosesan Bahasa Alami (NLP) dalam Python.",Python,20,5,1,,2429,Natural Language Processing (NLP) in Python | Analisis Sentimen dengan Python | Pemrosesan Bahasa Alami dengan spaCy | Pemrosesan Bahasa Lisan dengan Python | Analyzing Customer Support Calls | Rekayasa Fitur untuk NLP di Python,
skill,big-data-with-pyspark,https://app.datacamp.com/learn/skill-tracks/big-data-with-pyspark,Big Data dengan PySpark,Pelajari cara memproses big data dan memanfaatkannya secara efisien dengan Apache Spark menggunakan antarmuka pemrograman PySpark.,"Kuasai PySpark untuk kelola big data dengan mudah—pelajari proses, mengambil, dan optimalkan dataset besar untuk analitik ampuh!
Bab:
Pengantar Apache Spark dan PySpark
800 XP
PySpark di Python
750 XP
Pengantar PySpark SQL
1300 XP
Lihat Kursus
Mulai",25,6,1,,8520,Pengantar PySpark | Fundamental Big Data dengan PySpark | Cleaning Data with PySpark | Rekayasa Fitur dengan PySpark | Machine Learning dengan PySpark | Building Recommendation Engines with PySpark | Membangun Model Peramalan Permintaan,
skill,dbt-fundamentals,https://app.datacamp.com/learn/skill-tracks/dbt-fundamentals,Dasar-dasar dbt,"Bangun pipa data yang andal dan skalabel dengan dbt Fundamentals, sebuah program praktis yang dirancang untuk analis data, insinyur data, dan insinyur analitik.",,8,3,,,5392,Pengantar dbt | dbt Tingkat Menengah | Studi Kasus: Membangun Model Data E-Commerce dengan dbt | What is dbt? A Hands-On Introduction for Data Engineers,
skill,containerization-and-virtualization,https://app.datacamp.com/learn/skill-tracks/containerization-and-virtualization,Kontainerisasi dan Virtualisasi dengan Docker dan Kubernetes,"Pelajari kekuatan Docker dan Kubernetes, jalur interaktif ini akan memungkinkan Anda untuk membangun dan mengimplementasikan aplikasi di lingkungan modern.",,13,4,,,10136,Konsep Containerization dan Virtualization | Pengantar Docker | Pengantar Kubernetes | Docker Tingkat Menengah,
skill,git-fundamentals,https://app.datacamp.com/learn/skill-tracks/git-fundamentals,Dasar-Dasar Git,"Pelajari pengendalian versi dengan Git, mulai dari dasar hingga alur kerja tingkat lanjut. Lacak perubahan, kelola repositori, dan kolaborasi secara efisien.",,7,3,,,7148,Pengantar Git | Git Tingkat Menengah | Git Tingkat Lanjut | Git Setup: The Definitive Guide,
skill,mlops-fundamentals,https://app.datacamp.com/learn/skill-tracks/mlops-fundamentals,Dasar-Dasar MLOps,"Pelajari dasar-dasar Machine Learning Operations (MLOps), termasuk konsep produksi dan pemantauan model machine learning!",,14,4,,,14799,Konsep MLOps | Mengembangkan Model Machine Learning untuk Produksi | Penyebaran dan Siklus Hidup MLOps | MLOps Otomatis Penuh,
skill,sigma-fundamentals,https://app.datacamp.com/learn/skill-tracks/sigma-fundamentals,Dasar-Dasar Sigma,"Peroleh kompetensi inti di Sigma melalui pelatihan praktis - pelajari cara membuat wawasan, aplikasi AI, dan analitik yang terkelola. Tidak diperlukan pengalaman.",,10,5,,,1409,Pengantar Sigma | Visualizations in Sigma | Calculations in Sigma | Pengantar Aplikasi AI di Sigma | Pemodelan Data di Sigma,
skill,data-governance-fundamentals,https://app.datacamp.com/learn/skill-tracks/data-governance-fundamentals,Dasar-Dasar Tata Kelola Data,"Ungkap rahasia tata kelola data: kelola, amankan, dan lindungi data secara efektif.",,10,5,,1,10517,Pengantar Privasi Data | Pengantar Kualitas Data | Pengantar Keamanan Data | Konsep Tata Kelola Data | Konsep Manajemen Data | Dasar-Dasar Tata Kelola Data,
skill,python-for-software-engineering,https://app.datacamp.com/learn/skill-tracks/python-for-software-engineering,Python for Software Engineering,"Build Python skills for software engineering. Write clean functions, master OOP, data structures, and algorithms, and deliver well-tested code.",Python,32,8,,,324,Pengantar Python untuk Pengembang | Python Tingkat Menengah untuk Pengembang | Menulis Function di Python | Pengantar Pemrograman Berorientasi Objek di Python | Pemrograman Berorientasi Objek Tingkat Menengah di Python | Struktur Data dan Algoritma di Python | Menulis Kode Python yang Efisien | Pengantar Pengujian di Python,
skill,artificial-intelligence-ai-leadership,https://app.datacamp.com/learn/skill-tracks/artificial-intelligence-ai-leadership,Kepemimpinan Kecerdasan Buatan (AI),"Kuasai kepemimpinan AI dengan jalur ini: monetisasi AI, bangun kepercayaan dengan AI yang Bertanggung Jawab dan Dapat Dijelaskan, dan amankan inovasi Anda. Berani memimpin dengan percaya diri!",,6,4,,,8901,Persyaratan Pendahuluan Track | Monetisasi Kecerdasan Buatan | Responsible AI Practices | Konsep Explainable Artificial Intelligence (XAI) | Keamanan AI dan Manajemen Risiko,
skill,financial-reporting,https://app.datacamp.com/learn/skill-tracks/financial-reporting,Pelaporan Keuangan di Power BI,Dapatkan keterampilan dasar yang Anda butuhkan untuk menganalisis data keuangan di Power BI.,Power BI,18,4,,,8328,Analisis Keuangan di Power BI | Analisis Deret Waktu di Power BI | Pengantar Laporan Keuangan di Power BI | Studi Kasus: Analisis Perdagangan Kredit Pemilikan Rumah (KPR) di Power BI,
skill,spreadsheet-fundamentals,https://app.datacamp.com/learn/skill-tracks/spreadsheet-fundamentals,Dasar-Dasar Google Sheets,Jadilah ahli Google Sheets. Pelajari keterampilan dasar yang Anda butuhkan untuk menganalisis data menggunakan Google Sheets.,,15,5,,,13960,Pengantar Google Sheets | Data Analysis in Google Sheets | Google Sheets Tingkat Menengah | Pivot Table di Google Sheets | Visualisasi Data di Google Sheets,
skill,developing-applications-with-langchain,https://app.datacamp.com/learn/skill-tracks/developing-applications-with-langchain,Mengembangkan Aplikasi dengan LangChain,"Pelajari cara membangun aplikasi LLM yang berdampak, termasuk alur kerja RAG dan sistem agen, menggunakan kerangka kerja LangChain!",Python,9,3,1,,7377,Mengembangkan Aplikasi LLM dengan LangChain | Retrieval Augmented Generation (RAG) dengan LangChain | Membangun Chatbot RAG untuk Dokumentasi Teknis | Merancang Sistem Agentic dengan LangChain,
skill,time-series-with-r,https://app.datacamp.com/learn/skill-tracks/time-series-with-r,Deret Waktu di R,"Pelajari cara mengekstrak wawasan yang bermakna dari data deret waktu menggunakan R. Jelajahi cara memodelkan, meramalkan, dan memvisualisasikan data deret waktu.","Menguasai manipulasi data time series di R, termasuk mengimpor, merangkum, dan memotong data, menggunakan paket zoo, lubridate, dan xts.
Bab:
Apa itu Data Deret Waktu?
900 XP
Memanipulasi Deret Waktu dengan zoo
900 XP
Pengindeksan Objek Deret Waktu
1400 XP
Jendela Rolling dan Expanding
900 XP
Lihat Kursus
Mulai",25,6,,,3601,Memanipulasi Data Deret Waktu di R | Analisis Deret Waktu dengan R | Model ARIMA di R | Peramalan di R | Memvisualisasikan Data Deret Waktu di R | Studi Kasus: Menganalisis Data Deret Waktu Kota di R,
skill,building-apis-in-python,https://app.datacamp.com/learn/skill-tracks/building-apis-in-python,Membuat API dengan Python,Membuat API dengan Python mengajarkan Anda cara membuat dan mengelola API menggunakan Python dan FastAPI melalui kursus dan proyek praktis yang interaktif.,"Python, FastAPI",13,4,1,,8038,Pengantar Python untuk Pengembang | Python Tingkat Menengah untuk Pengembang | Pengantar API di Python | Pengantar FastAPI | Menemukan Kurs Valuta Asing untuk Penjualan Internasional,
skill,sql-server-fundamentals,https://app.datacamp.com/learn/skill-tracks/sql-server-fundamentals,Dasar-Dasar SQL Server,"Dapatkan keterampilan dasar SQL Server yang Anda butuhkan untuk merangkum data, menggabungkan tabel, dan menganalisis data Anda menggunakan fungsi-fungsi SQL Server.",SQL,21,5,,,11952,Pengantar SQL Server | Intermediate SQL Server | Menggabungkan Data di SQL | Time Series Analysis in SQL Server | Fungsi untuk Memanipulasi Data di SQL Server,
skill,time-series-with-python,https://app.datacamp.com/learn/skill-tracks/time-series-with-python,Deret Waktu dalam Python,"Dapatkan keterampilan yang Anda butuhkan untuk memanipulasi, menginterpretasikan, dan memvisualisasikan data deret waktu di Python, menggunakan pandas, NumPy, dan Matplotlib.",Python,20,5,1,,28678,Memanipulasi Data Deret Waktu di Python | Analisis Deret Waktu dengan Python | Memvisualisasikan Data Deret Waktu di Python | Model ARIMA di Python | Analisis Deret Waktu untuk Transportasi | Machine Learning for Time Series Data in Python,
skill,finance-fundamentals-in-python,https://app.datacamp.com/learn/skill-tracks/finance-fundamentals-in-python,Dasar-Dasar Keuangan dalam Python,"Dapatkan keterampilan dasar yang Anda butuhkan untuk mengambil keputusan keuangan berbasis data menggunakan Python—dengan memanfaatkan perpustakaan pandas, NumPy, statsmodels, dan pyfolio.",Python,25,6,1,,24954,Pengantar Python untuk Keuangan | Intermediate Python for Finance | Pengantar Konsep Keuangan dengan Python | Memanipulasi Data Deret Waktu di Python | Importing and Managing Financial Data in Python | Pengantar Analisis Portofolio dengan Python | Analisis Portofolio Saham Anda untuk Risiko dan Imbal Hasil,
skill,openai-fundamentals,https://app.datacamp.com/learn/skill-tracks/openai-fundamentals,Dasar-Dasar OpenAI,Mulailah membuat sistem kecerdasan buatan (AI) menggunakan model dari OpenAI. Pelajari cara menggunakan API OpenAI untuk memberikan perintah kepada model GPT dan Whisper OpenAI.,,15,5,1,,4975,Bekerja dengan OpenAI API | Multi-Modal Systems with the OpenAI API | [DataFramed AI Series #1] ChatGPT and the OpenAI Developer Ecosystem | GPT-Image-1 API: A Step-by-Step Guide With Examples | Prompt Engineering dengan OpenAI API | OpenAI GPT‑5 API: Hands-On With New Features | Mengembangkan Sistem AI dengan OpenAI API | Introduction to Embeddings with the OpenAI API | Analisis Topik Ulasan Pakaian dengan Embeddings | Fine-tuning GPT-4o Mini: A Step-by-Step Guide,
skill,developing-large-language-models,https://app.datacamp.com/learn/skill-tracks/developing-large-language-models,Pengembangan Model Bahasa Besar,"Pelajari cara mengembangkan model bahasa besar (LLMs) menggunakan PyTorch dan Hugging Face, dengan memanfaatkan teknik deep learning dan NLP terbaru.",,16,6,3,,5807,Pengantar LLM di Python | Menganalisis Ulasan Mobil dengan LLM | Bekerja dengan Llama 3 | Classifying Emails using Llama | Deep Learning for Text with PyTorch | Klasifikasi Tiket Service Desk dengan Deep Learning | Model Transformer dengan PyTorch | Reinforcement Learning from Human Feedback (RLHF) | LLMOps Concepts,
